code,mot_cle,nature,drapeau,table_mots_cles,repartition_brute,routine,carnet_exec,accord_carnet
00,RESERVED,aucune entree,0,F564D,000000,,F5960,non
0B,BTEXT$,instruction et fonction,C,F533E,CFA28C,FA28C / FA28F,FA28C,oui
0C,BDATA$,instruction et fonction,C,F5346,CFA2BD,FA2BD / FA2C0,FA2BD,oui
0D,MEM$,instruction et fonction,C,F554F,CFA35E,FA35E / FA361,FA35E,oui
10,RUN,instruction,8,F55E7,8FD00F,FD00F,FD00F,oui
11,NEW,instruction,8,F5573,8FA0AB,FA0AB,FA0AB,oui
12,CONT,instruction,8,F534F,8FD04E,FD04E,FD04E,oui
13,PASS,instruction,8,F55A8,8F8786,F8786,F8786,oui
14,LIST,instruction,8,F54E1,8F9E5F,F9E5F,F9E5F,oui
15,LLIST,instruction,8,F54E7,8FCB53,FCB53,FCB53,oui
16,CLOAD,instruction,8,F5365,8FE05F,FE05F,FE05F,oui
17,MERGE,instruction,8,F5555,8EC313,EC313,EC313,oui
18,LOAD,instruction,8,F5511,8EC325,EC325,EC325,oui
19,RENUM,instruction,8,F5628,8F8B91,F8B91,F8B91,oui
1A,AUTO,instruction,8,F5316,8F8887,F8887,F8887,oui
1B,DELETE,instruction,8,F53F0,8F8A7B,F8A7B,F8A7B,oui
1C,FILES,instruction,8,F5451,8F8207,F8207,F8207,oui
1D,INIT,instruction,8,F54CD,8DFC87,DFC87,DFC87,oui
20,CSAVE,instruction,8,F536C,8FDF76,FDF76,FDF76,oui
21,OPEN,instruction et fonction,C,F5587,CFE209,FE209 / FE20C,FE209,oui
22,CLOSE,instruction,8,F537E,8FE67F,FE67F,FE67F,oui
23,SAVE,instruction,8,F567B,8FD8E6,FD8E6,FD8E6,oui
24,CONSOLE,instruction,8,F5355,8FE891,FE891,FE891,oui
25,RANDOMIZE,instruction,8,F5608,8EE439,EE439,EE439,oui
26,DEGREE,instruction,8,F53D2,8ECF36,ECF36,ECF36,oui
27,RADIAN,instruction,8,F561B,8ECF5E,ECF5E,ECF5E,oui
28,GRAD,instruction,8,F5482,8ECF4A,ECF4A,ECF4A,oui
29,BEEP,instruction,8,F5331,8F7982,F7982,F7982,oui
2A,WAIT,instruction,8,F56DE,8FC6A9,FC6A9,FC6A9,oui
2B,GOTO,instruction,8,F5464,8FCDA3,FCDA3,FCDA3,oui
2C,TRON,instruction,8,F56B2,8F877C,F877C,F877C,oui
2D,TROFF,instruction,8,F56B8,8F8781,F8781,F8781,oui
2E,CLEAR,instruction,8,F535E,8FB458,FB458,FB458,oui
2F,USING,instruction,8,F56C9,8FC519,FC519,FC519,oui
30,DIM,instruction,8,F53CD,8FB742,FB742,FB742,oui
31,CALL,instruction,8,F5385,8F9EBB,F9EBB,F9EBB,oui
32,POKE,instruction,8,F55B8,8F9EF2,F9EF2,F9EF2,oui
33,GPRINT,instruction,8,F5471,8FD350,FD350,FD350,oui
34,PSET,instruction,8,F55C5,8FD2D6,FD2D6,FD2D6,oui
35,PRESET,instruction,8,F55CB,8FD2F7,FD2F7,FD2F7,oui
36,BASIC,instruction,8,F5337,8F89A8,F89A8,F89A8,oui
37,TEXT,instruction,8,F56AC,8F8A28,F8A28,F8A28,oui
3A,ERASE,instruction,8,F5427,8FB530,FB530,FB530,oui
3B,LFILES,instruction,8,F552E,8F820B,F820B,F820B,oui
3C,KILL,instruction,8,F54D5,8FDB05,FDB05,FDB05,oui
3D,COPY,instruction,8,F5397,8FF02E,FF02E,FF02E,oui
3E,NAME,instruction,8,F5568,8FDB9D,FDB9D,FDB9D,oui
3F,SET,instruction,8,F5687,8FDCAD,FDCAD,FDCAD,oui
40,LTEXT,instruction,8,F5536,8E668B,E668B,E668B,oui
41,GRAPH,instruction,8,F5488,8E66A4,E66A4,E66A4,oui
42,LF,instruction,8,F553D,8E66B3,E66B3,E66B3,oui
43,CSIZE,instruction,8,F539D,8E672B,E672B,E672B,oui
44,COLOR,instruction,8,F53A4,8E67F1,E67F1,E67F1,oui
46,DEFDBL,instruction,8,F53F8,8F88E9,F88E9,F88E9,oui
47,DEFSNG,instruction,8,F5400,8F88ED,F88ED,F88ED,oui
4D,ENDIF,instruction,8,F56F8,830FE0,30FE0,30FE0,oui
4E,REPEAT,instruction,8,F5657,83114F,3114F,3114F,oui
4F,UNTIL,instruction,8,F56D0,831165,31165,31165,oui
50,CLS,instruction,8,F538B,8FC632,FC632,FC632,oui
51,LOCATE,instruction,8,F54F6,8FC64F,FC64F,FC64F,oui
52,TO,instruction,8,F56BF,8F5960,F5960,F5960,oui
53,STEP,instruction,8,F5681,8F5960,F5960,F5960,oui
54,THEN,instruction,8,F56A1,8F5960,F5960,F5960,oui
55,ON,instruction,8,F5583,8FCE8B,FCE8B,FCE8B,oui
56,IF,instruction,8,F54BC,830E39,30E39,30E39,oui
57,FOR,instruction,8,F544C,8FD0B8,FD0B8,FD0B8,oui
58,LET,instruction,8,F551D,8FB16F,FB16F,FB16F,oui
59,REM,instruction,8,F5623,8F9F9B,F9F9B,F9F9B,oui
5A,END,instruction,8,F5418,8FD08B,FD08B,FD08B,oui
5B,NEXT,instruction,8,F5562,8FD23D,FD23D,FD23D,oui
5C,STOP,instruction,8,F5660,8FD07C,FD07C,FD07C,oui
5D,READ,instruction,8,F55F4,8FCA07,FCA07,FCA07,oui
5E,DATA,instruction,8,F53E4,8FD00A,FD00A,FD00A,oui
